District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
LESLIE ,,,,,,,,,,,,,,79,76,79,77,78,79,82,,,,,,,,,,,,,,84.8,,
LETCHER ,,,,,,,,,,,,,,77,77,82,84,86,87,88,,,,,,,,,,,,,,90.4,,
LEWIS ,,,,,,,,,,,,,,81,82,88,89,85,92,96,,,,,,,,,,,,,,95.6,,
LINLN ,,,,,,,,,,,,,,71,73,77,77,80,82,86,,,,,,,,,,,,,,95.1,,
LIVINGSTON ,,,,,,,,,,,,,,89,91,81,85,86,90,93,,,,,,,,,,,,,,96.4,,
LOGAN ,,,,,,,,,,,,,,78,91,88,88,94,91,92,,,,,,,,,,,,,,94.2,,
LUDLOW,,,,,,,,,,,,,,93,96,99,97,94,91,92,,,,,,,,,,,,,,94.9,,
LYON ,,,,,,,,,,,,,,86,91,92,93,93,100,92,,,,,,,,,,,,,,92.3,,
MADISON ,,,,,,,,,,,,,,88,92,88,89,89,90,88,,,,,,,,,,,,,,92.2,,
MAGOFFIN ,,,,,,,,,,,,,,72,76,81,89,89,91,93,,,,,,,,,,,,,,92.5,,
MARION ,,,,,,,,,,,,,,84,81,85,82,86,82,90,,,,,,,,,,,,,,97.5,,
MARSHALL ,,,,,,,,,,,,,,83,89,94,90,85,91,86,,,,,,,,,,,,,,91.2,,
MARTIN ,,,,,,,,,,,,,,79,81,78,79,74,86,86,,,,,,,,,,,,,,94.6,,
MASON ,,,,,,,,,,,,,,86,79,83,81,89,88,84,,,,,,,,,,,,,,94.1,,
MAYFIELD,,,,,,,,,,,,,,84,74,85,74,74,83,93,,,,,,,,,,,,,,94.7,,
MCCRACKEN ,,,,,,,,,,,,,,91,91,93,94,91,91,90,,,,,,,,,,,,,,94.5,,
MCCREARY ,,,,,,,,,,,,,,76,88,92,88,70,80,85,,,,,,,,,,,,,,93.8,,
MCLEAN ,,,,,,,,,,,,,,85,93,92,89,86,89,94,,,,,,,,,,,,,,92.5,,
