AVERAGE CLASSROOM TEACHER SALARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-90 THROUGH 2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist No,District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
105,CARTER ,"$24,258 ","$27,719 ","$30,028 ","$31,010 ","$31,206 ","$32,612 ","$31,950 ","$32,843 ","$32,846 ","$34,085 ","$34,886 ","$35,356 ","$36,392 ","$36,891","$37,544","$38,812 ","$40,055 ","$40,917 ","$44,272","$45,161","$45,783 ","$45,084 ","$45,411","$45,558","$45,798","$47,125","$47,888 ","$47,870 ","$48,294","$49,436","$49,978","$50,713","$51,747","$53,156","$54,622","$56,812"
111,CASEY ,"$24,158 ","$26,058 ","$28,488 ","$28,595 ","$28,727 ","$30,583 ","$30,747 ","$32,004 ","$32,791 ","$34,387 ","$35,592 ","$36,208 ","$37,020 ","$37,824","$39,382","$40,312 ","$41,409 ","$42,228 ","$45,218","$45,669","$46,609 ","$46,338 ","$46,651","$46,881","$46,905","$46,920","$47,807 ","$46,812 ","$47,350","$46,962","$47,829","$48,959","$49,867","$50,318","$51,260","$53,402"
113,CAVERNA,"$24,529 ","$26,919 ","$28,973 ","$29,668 ","$29,740 ","$30,934 ","$31,078 ","$32,101 ","$32,647 ","$33,442 ","$33,587 ","$35,220 ","$37,141 ","$38,005","$39,317","$40,683 ","$40,531 ","$41,852 ","$44,819","$46,630","$48,595 ","$48,117 ","$48,678","$49,250","$49,255","$49,375","$51,116 ","$49,910 ","$50,668","$50,233","$50,853","$51,451","$54,070","$55,174","$54,931","$57,080"
115,CHRISTIAN ,"$26,174 ","$28,776 ","$30,045 ","$30,058 ","$29,894 ","$31,016 ","$32,045 ","$32,603 ","$33,273 ","$35,061 ","$35,269 ","$36,512 ","$37,259 ","$38,070","$39,297","$40,121 ","$41,255 ","$42,095 ","$44,716","$45,488","$45,909 ","$45,505 ","$46,249","$46,733","$47,403","$46,929","$48,307 ","$48,148 ","$48,347","$47,948","$48,314","$48,317","$47,640","$48,291","$48,701","$50,979"
121,CLARK ,"$25,379 ","$28,004 ","$29,934 ","$30,235 ","$31,192 ","$31,870 ","$32,901 ","$33,791 ","$34,713 ","$35,579 ","$35,943 ","$36,752 ","$37,432 ","$38,380","$39,013","$39,458 ","$40,705 ","$41,327 ","$45,048","$45,269","$45,575 ","$45,757 ","$45,964","$46,590","$45,845","$46,719","$46,640 ","$47,930 ","$49,542","$50,372","$50,552","$51,006","$49,197","$51,933","$52,784","$56,457"
125,CLAY ,"$25,341 ","$29,100 ","$29,848 ","$29,705 ","$29,333 ","$30,432 ","$31,432 ","$32,413 ","$33,038 ","$33,835 ","$34,378 ","$35,596 ","$36,614 ","$37,413","$39,009","$40,404 ","$42,227 ","$44,169 ","$48,298","$48,576","$48,907 ","$48,026 ","$48,086","$48,105","$47,562","$48,047","$48,834 ","$48,939 ","$48,882","$48,578","$49,741","$50,017","$50,314","$51,507","$52,471","$55,217"
131,CLINTON ,"$24,749 ","$28,488 ","$30,548 ","$30,572 ","$30,316 ","$31,222 ","$31,070 ","$32,047 ","$32,939 ","$34,111 ","$34,110 ","$35,396 ","$36,953 ","$37,933","$39,449","$40,637 ","$42,018 ","$43,173 ","$46,916","$47,201","$47,272 ","$46,787 ","$47,425","$47,030","$47,589","$48,137","$49,117 ","$49,316 ","$48,243","$48,403","$49,005","$49,005","$48,877","$49,258","$50,835","$51,160"
132,CLOVERPORT,"$23,735 ","$26,608 ","$27,283 ","$28,068 ","$28,148 ","$28,824 ","$30,037 ","$31,894 ","$32,462 ","$33,194 ","$35,239 ","$37,677 ","$35,916 ","$34,493","$34,045","$33,223 ","$36,333 ","$37,055 ","$42,278","$42,358","$41,218 ","$41,041 ","$39,119","$41,843","$40,539","$41,190","$42,675 ","$43,008 ","$43,119","$44,285","$44,361","$46,988","$46,137","$46,233","$46,599","$53,148"
133,RBIN,"$25,407 ","$28,976 ","$31,086 ","$31,768 ","$31,107 ","$31,800 ","$32,056 ","$33,047 ","$33,912 ","$34,627 ","$35,623 ","$36,317 ","$37,555 ","$38,313","$40,230","$42,225 ","$43,510 ","$44,531 ","$47,964","$48,825","$48,215 ","$46,567 ","$46,249","$46,646","$46,716","$47,631","$49,209 ","$49,384 ","$50,545","$52,006","$52,427","$54,891","$55,576","$56,569","$57,363","$60,127"
134,VINGTON,"$24,627 ","$27,803 ","$29,452 ","$30,248 ","$30,601 ","$31,157 ","$31,726 ","$32,088 ","$32,583 ","$34,844 ","$36,049 ","$36,594 ","$36,901 ","$36,788","$37,820","$39,088 ","$40,551 ","$41,284 ","$44,366","$44,966","$45,485 ","$44,064 ","$44,700","$44,754","$46,406","$46,622","$47,274 ","$47,750 ","$47,909","$48,502","$49,907","$49,564","$49,402","$51,921","$52,924","$55,424"
